iter	Logloss
158	0.0001333985582
159	0.0001326030792
160	0.0001318197608
161	0.000130943992
162	0.0001301868515
163	0.0001294606054
164	0.0001287047433
165	0.000127954677
166	0.0001272132398
167	0.0001264920917
168	0.0001258022577
169	0.0001250393116
170	0.0001242889068
171	0.0001235261006
172	0.0001228420486
173	0.0001221774671
174	0.0001215111087
175	0.0001208079783
176	0.0001200592999
177	0.0001194188454
178	0.0001188150404
179	0.0001182389441
180	0.0001176132589
181	0.0001169533601
182	0.0001163787702
183	0.000115843016
184	0.0001152046144
185	0.0001146533068
186	0.0001140603943
187	0.0001133921829
188	0.0001128100371
189	0.0001122206242
190	0.0001115353483
191	0.000110946789
192	0.0001103804128
193	0.0001098403912
194	0.0001092543034
195	0.0001087814549
196	0.0001082339378
197	0.0001077145033
198	0.000107230426
199	0.0001067491242
200	0.0001063241187
201	0.0001057919519
202	0.0001053402425
203	0.0001049022151
204	0.0001044320323
205	0.000103955949
206	0.000103524154
207	0.0001030340858
208	0.0001026059932
209	0.0001021463748
210	0.0001016683102
211	0.0001012200418
212	0.0001008187016
213	0.0001004386627
214	9.997333036e-05
215	9.954575075e-05
216	9.908458632e-05
217	9.867443806e-05
218	9.8272127e-05
219	9.779574698e-05
220	9.741930737e-05
221	9.703517358e-05
222	9.664684269e-05
223	9.617424631e-05
224	9.583968988e-05
225	9.543008941e-05
226	9.505229699e-05
227	9.468115861e-05
228	9.429995979e-05
229	9.390348433e-05
230	9.357048774e-05
231	9.320815055e-05
232	9.284552841e-05
233	9.252859841e-05
234	9.214782268e-05
235	9.179463994e-05
236	9.146437961e-05
237	9.110458658e-05
238	9.073429615e-05
239	9.042542691e-05
240	9.00197133e-05
241	8.971637848e-05
242	8.930756747e-05
243	8.901942496e-05
244	8.871922936e-05
245	8.838911874e-05
246	8.805863287e-05
247	8.776395218e-05
248	8.745106357e-05
249	8.714281661e-05
250	8.680596599e-05
251	8.649341204e-05
252	8.589868975e-05
253	8.556473191e-05
254	8.517109905e-05
255	8.485514805e-05
256	8.446113696e-05
257	8.411921196e-05
258	8.38239546e-05
259	8.347822161e-05
260	8.321460433e-05
261	8.297476635e-05
262	8.266590415e-05
263	8.240652901e-05
264	8.211518068e-05
265	8.182275818e-05
266	8.15649934e-05
267	8.125353421e-05
268	8.098353319e-05
269	8.067180025e-05
270	8.040759739e-05
271	8.013314399e-05
272	7.987298174e-05
273	7.958318832e-05
274	7.938243642e-05
275	7.910604244e-05
276	7.887790686e-05
277	7.860959538e-05
278	7.832932251e-05
279	7.804969462e-05
280	7.780881232e-05
281	7.758209537e-05
282	7.730955877e-05
283	7.703440935e-05
284	7.678291075e-05
285	7.657090401e-05
286	7.629759195e-05
287	7.608818833e-05
288	7.586231599e-05
289	7.557308157e-05
290	7.536888353e-05
291	7.513804835e-05
292	7.488632934e-05
293	7.467645961e-05
294	7.443144019e-05
295	7.420892437e-05
296	7.397805216e-05
297	7.370957225e-05
298	7.348546167e-05
299	7.324220775e-05
300	7.303457581e-05
301	7.28200517e-05
302	7.262672066e-05
303	7.241022991e-05
304	7.222214288e-05
305	7.200308399e-05
306	7.181785506e-05
307	7.161335254e-05
308	7.140745735e-05
309	7.118909902e-05
310	7.097721322e-05
311	7.075810824e-05
312	7.054316261e-05
313	7.033003874e-05
314	7.015522148e-05
315	6.994247912e-05
316	6.971701822e-05
317	6.952745309e-05
318	6.932164684e-05
319	6.914369784e-05
320	6.89771997e-05
321	6.880063414e-05
322	6.862668064e-05
323	6.842666376e-05
324	6.818485106e-05
325	6.802521711e-05
326	6.783943688e-05
327	6.765036148e-05
328	6.746554593e-05
329	6.726869594e-05
330	6.709279262e-05
331	6.693952114e-05
332	6.674468195e-05
333	6.655606956e-05
334	6.636834866e-05
335	6.618557225e-05
336	6.602813893e-05
337	6.584476976e-05
338	6.569865297e-05
339	6.555073285e-05
340	6.538042664e-05
341	6.519390666e-05
342	6.502720556e-05
343	6.486984446e-05
344	6.471885532e-05
345	6.457376587e-05
346	6.433535412e-05
347	6.415018932e-05
348	6.395535709e-05
349	6.380402129e-05
350	6.362793279e-05
351	6.344497083e-05
352	6.331278924e-05
353	6.310318053e-05
354	6.295632299e-05
355	6.28109313e-05
356	6.259247358e-05
357	6.244044511e-05
358	6.22922579e-05
359	6.213202674e-05
360	6.200225586e-05
361	6.168045254e-05
362	6.154026693e-05
363	6.139821534e-05
364	6.126074268e-05
365	6.107892549e-05
366	6.093193023e-05
367	6.079978331e-05
368	6.062197133e-05
369	6.047873514e-05
370	6.028813238e-05
371	6.013924283e-05
372	6.001320335e-05
373	5.985373516e-05
374	5.973109947e-05
375	5.959180549e-05
376	5.944173135e-05
377	5.931697437e-05
378	5.914772816e-05
379	5.90033074e-05
380	5.887117697e-05
381	5.874420787e-05
382	5.86067138e-05
383	5.846851094e-05
384	5.833710802e-05
385	5.822838231e-05
386	5.806673631e-05
387	5.789178982e-05
388	5.777716461e-05
389	5.763598387e-05
390	5.750985965e-05
391	5.738146037e-05
392	5.723528127e-05
393	5.709030352e-05
394	5.697499483e-05
395	5.6836007e-05
396	5.673815008e-05
397	5.661921726e-05
398	5.649160905e-05
399	5.637643595e-05
400	5.626160919e-05
401	5.615446584e-05
402	5.602135835e-05
403	5.592682304e-05
404	5.581959743e-05
405	5.567835099e-05
406	5.554333115e-05
407	5.542783013e-05
408	5.529216442e-05
409	5.519057318e-05
410	5.509282369e-05
411	5.496352951e-05
412	5.484587055e-05
413	5.472419634e-05
414	5.461586845e-05
415	5.44969705e-05
416	5.438167803e-05
417	5.426791396e-05
418	5.415752787e-05
419	5.404281786e-05
420	5.392994606e-05
421	5.383063965e-05
422	5.372153608e-05
423	5.360787316e-05
424	5.350573401e-05
425	5.336289303e-05
426	5.324380325e-05
427	5.311667467e-05
428	5.301904229e-05
429	5.289920565e-05
430	5.281024888e-05
431	5.267623751e-05
432	5.259474589e-05
433	5.249872362e-05
434	5.237650194e-05
435	5.226034301e-05
436	5.216178082e-05
437	5.207289609e-05
438	5.190674879e-05
439	5.181416778e-05
440	5.169839972e-05
441	5.161761714e-05
442	5.152682951e-05
443	5.142932249e-05
444	5.134925881e-05
445	5.118056229e-05
446	5.10595407e-05
447	5.095243915e-05
448	5.086598464e-05
449	5.074838534e-05
450	5.065907247e-05
451	5.056382274e-05
452	5.048311267e-05
453	5.037359034e-05
454	5.028520785e-05
455	5.019946212e-05
456	5.009639204e-05
457	4.998639478e-05
458	4.990991677e-05
459	4.979452082e-05
460	4.968811911e-05
461	4.961401706e-05
462	4.952320116e-05
463	4.943793804e-05
464	4.933088048e-05
465	4.924802117e-05
466	4.916160144e-05
467	4.905003765e-05
468	4.895290352e-05
469	4.887198257e-05
470	4.877293587e-05
471	4.867145926e-05
472	4.859044713e-05
473	4.850108704e-05
474	4.84267113e-05
475	4.832341354e-05
476	4.821397044e-05
477	4.813787424e-05
478	4.807758223e-05
479	4.796746424e-05
480	4.789308894e-05
481	4.780216282e-05
482	4.771302078e-05
483	4.761593988e-05
484	4.753680298e-05
485	4.746526674e-05
486	4.738007629e-05
487	4.727912597e-05
488	4.719956967e-05
489	4.712942657e-05
490	4.70473398e-05
491	4.695262596e-05
492	4.68782224e-05
493	4.679702728e-05
494	4.67235976e-05
495	4.663436378e-05
496	4.656332868e-05
497	4.648637556e-05
498	4.644194995e-05
499	4.635704952e-05
